Name,Address,Type,Description,Image_URL
Shawnee Mission East High School,"7500 Mission Rd, Prairie Village, KS 66208",School,"This is where I went to high school and met so many of my best friends, this school means a lot to me because of the friends I made and the nostalgia from it. ",https://images.johnsoncountypost.com/wp-content/uploads/2020/04/SM_East_Campus.jpg
Osteria Il Centro,"5101 Main St, Kansas City, MO 64112",Restaurant,"Il Centro has always been a family favorite and is the best Italian food in Kansas City. The resteraunt is cozy and the service is incredible, seriously one of the best in the KC area. ",https://romanticspotskansascity.com/wp-content/uploads/2023/07/Osteria-Il-Centro-KC.jpeg
PowerLife South Plaza,"4804 Belleview Ave, Kansas City, MO 64112",Workout,"PowerLife is one of my favorite workout spots when I’m home. I love this location because its right next to the plaza, it’s a great place to get a workout in closer to the city. ",https://powerlife.com/wp-content/uploads/2018/06/South-Plaza-Storefront-2018.jpg
The Roasterie Café – Brookside,"6223 Brookside Blvd, Kansas City, MO 64113",Cafe,The Roasterie in Brookside has forever and always will be my favorite coffee shop. 16oz Iced Almond Milk Latte is the best order and the occasional spirnkle donut. ,https://sarahsnodgrass.com/blog/wp-content/uploads/2011/11/roasteriefront.jpg
Country Club Plaza,"4706 Broadway Blvd, Kansas City, MO 64112",Shopping,"Town Center has always been a go-to for shopping, errands, and resteraunts. It’s a staple for me and my friends at home and has so many great stores. ",https://flatlandkc.org/assets/uploads/2020/11/Plaza-Lights-1-web.jpg
Meadowbrook Park,"9101 Nall Ave, Prairie Village, KS 66207",Park,Meadowbrook Park is one of the prettiest outdoor spots in Prairie Village. I love going on walks or runs there and the Meadowbrook coffee shop and resteraunt is also amazing to stop in before or after a walk. ,https://i.vimeocdn.com/video/1173420997-c013974c4257080235d2db9dc7261521ed3f0833ce3ec5f790f2e91a8695fe0a-d?f=webp
Milburn Country Club,"7501 W 69th St, Overland Park, KS 66204",Recreation,Milburn has been part of a lot of family events and social memories for me growing up. From growing up swimming and golfing to now coming home to have dinner there and golf from time to time;. ,https://www.milburn.org/Images/Library/milburn_experience_website_small.jpg
French Market,"6943 Tomahawk Rd, Prairie Village, KS 66208",Restaurant,French Market is a Prairie Village favorite that feels both casual and special. I’ve gone there with family and friends for years. It’s one of those hometown spots I always look forward to visiting when I’m back.,https://bloximages.newyork1.vip.townnews.com/feastmagazine.com/content/tncms/assets/v3/editorial/3/27/3275a440-aeed-11e9-907c-6fac90cedb9a/5d39c4a7b1227.image.jpg?resize=666%2C500
Jun’s Sushi,"95th St & Mission Rd Area, Prairie Village, KS",Restaurant,"Jun’s is one of my favorite sushi spots back home. It's a bit of a hole in the wall but it never disappoints, the sushi boat is the best to get with a big group. ",https://s3-media0.fl.yelpcdn.com/bphoto/jesWsdLuT0YRSVc2AY551g/258s.jpg
Nelson-Atkins Museum of Art,"4525 Oak St, Kansas City, MO 64111",Museam,The Nelson-Atkins is such an iconic Kansas City landmark that I show to anyone visiting. Not only is the outside stunning but the museam itself is full of culture and art. ,https://theitalianguest.com/wp-content/uploads/2017/04/Nelson-art-gallery1-e1562745230686.jpg
